class,task,db,org,dts,name,prc,rcl,f01
Genomic,CREs,ENCODE CREs,hg38,PBMC,DoRothEA,0.9939622641509434,0.0161055605150844,0.6207828331147648
Genomic,CREs,ENCODE CREs,hg38,PBMC,GRaNIE,0.959308807134894,0.0210800945603312,0.665876241663187
Genomic,CREs,ENCODE CREs,hg38,PBMC,LINGER,0.9810940499040308,0.1334403675712365,0.9230402704782984
Genomic,CREs,ENCODE CREs,hg38,PBMC,LINGER Baseline,,,
Genomic,CREs,ENCODE CREs,hg38,PBMC,Pando,0.8957002979991485,0.0253115826957316,0.6682011420521721
Genomic,CREs,ENCODE CREs,hg38,PBMC,Random,0.9151515151515152,0.0239758653540806,0.6689621896657602
Genomic,CREs,ENCODE CREs,hg38,PBMC,SCENIC,0.992556917688266,0.0280309119010819,0.7403346536254142
Genomic,CREs,ENCODE CREs,hg38,PBMC,SCENIC+,0.9733809205145364,0.1749876355081472,0.9313099637884048
Genomic,CREs,Zhang21,hg38,PBMC,CellOracle,0.9890377588306942,0.0116192547650392,0.5396094325718496
Genomic,CREs,Zhang21,hg38,PBMC,CollecTRI,0.985645933014354,0.0207186884869035,0.6745839489761417
Genomic,CREs,Zhang21,hg38,PBMC,Dictys,0.9802887695264376,0.3036589275083574,0.959128532359244
Genomic,CREs,Zhang21,hg38,PBMC,DoRothEA,0.9871698113207548,0.018769372058317,0.6533918926939284
Genomic,CREs,Zhang21,hg38,PBMC,GRaNIE,0.9793756967670012,0.0252319269322457,0.71258141458596
Genomic,CREs,Zhang21,hg38,PBMC,LINGER,0.9708253358925144,0.1489377364879786,0.9205303800901148
Genomic,CREs,Zhang21,hg38,PBMC,LINGER Baseline,,,
Genomic,CREs,Zhang21,hg38,PBMC,Pando,0.9016602809706258,0.0300719853473612,0.7006101575012036
Genomic,CREs,Zhang21,hg38,PBMC,Random,0.9426573426573428,0.029005465421526,0.7185576912927367
Genomic,CREs,Zhang21,hg38,PBMC,SCENIC,0.9890542907180384,0.0326049304312684,0.7664469706131334
Genomic,CREs,Zhang21,hg38,PBMC,SCENIC+,0.9800728678712172,0.1966403604302486,0.9428796449684864
Genomic,CREs,Promoters,hg38,PBMC,CellOracle,0.6735688185140073,0.0748511099079588,0.624139549436796
Genomic,CREs,Promoters,hg38,PBMC,CollecTRI,1.0,0.2059693087427847,0.9632340958129892
Genomic,CREs,Promoters,hg38,PBMC,Dictys,0.2334302468831617,0.6210829946243608,0.2348817606129233
Genomic,CREs,Promoters,hg38,PBMC,DoRothEA,1.0,0.1855742296918767,0.9583572042394728
Genomic,CREs,Promoters,hg38,PBMC,GRaNIE,0.3818283166109253,0.0944697283133361,0.3706650379585429
Genomic,CREs,Promoters,hg38,PBMC,LINGER,0.1943378119001919,0.2734269511207129,0.194895969720013
Genomic,CREs,Promoters,hg38,PBMC,LINGER Baseline,,,
Genomic,CREs,Promoters,hg38,PBMC,Pando,0.1549595572584078,0.0489247311827957,0.1517042172154823
Genomic,CREs,Promoters,hg38,PBMC,Random,0.1934731934731934,0.0567637806045684,0.188967183773573
Genomic,CREs,Promoters,hg38,PBMC,SCENIC,1.0,0.3301532234749927,0.9803074987888728
Genomic,CREs,Promoters,hg38,PBMC,SCENIC+,0.1993456762584578,0.3676127793774852,0.2002532182905842
Genomic,CREs,GWAS Catalog,hg38,PBMC,CellOracle,0.0073081607795371,0.0149625935162094,0.007345365510721
Genomic,CREs,GWAS Catalog,hg38,PBMC,CollecTRI,0.010252904989747,0.0375,0.0103271983640081
Genomic,CREs,GWAS Catalog,hg38,PBMC,Dictys,0.0093135563987581,0.4772727272727273,0.009404856687898
Genomic,CREs,GWAS Catalog,hg38,PBMC,DoRothEA,0.0098113207547169,0.0324189526184538,0.0098795343902604
